timestamp,sede_id,sede,horizon_hours,yhat
2025-10-31 01:00:00,UPTC-CHI,Chiquinquirá,168,1.3527322
2025-10-31 01:00:00,UPTC-DUI,Duitama,168,2.6741848
2025-10-31 01:00:00,UPTC-SOG,Sogamoso,168,3.6179302
2025-10-31 01:00:00,UPTC-TUN,Tunja,168,1.2440306
2025-10-31 01:00:00,UPTC_CHI,Chiquinquirá,168,0.6672468
2025-10-31 01:00:00,UPTC_DUI,Duitama,168,2.036629
2025-10-31 01:00:00,UPTC_SOG,Sogamoso,168,2.2102036
2025-10-31 01:00:00,UPTC_TUN,Tunja,168,1.042236
2025-10-31 01:00:00,uptc_chi,Chiquinquirá,168,0.9576043
2025-10-31 01:00:00,uptc_dui,Duitama,168,2.1244905
2025-10-31 01:00:00,uptc_sog,Sogamoso,168,3.486553
2025-10-31 01:00:00,uptc_tun,Tunja,168,0.8206473
2025-10-31 02:00:00,UPTC-CHI,Chiquinquirá,168,-0.40509233
2025-10-31 02:00:00,UPTC-DUI,Duitama,168,3.1614237
2025-10-31 02:00:00,UPTC-SOG,Sogamoso,168,2.979822
2025-10-31 02:00:00,UPTC-TUN,Tunja,168,1.3708708
2025-10-31 02:00:00,UPTC_CHI,Chiquinquirá,168,0.6894475
2025-10-31 02:00:00,UPTC_DUI,Duitama,168,2.035668
2025-10-31 02:00:00,UPTC_SOG,Sogamoso,168,2.446874
2025-10-31 02:00:00,UPTC_TUN,Tunja,168,1.0386034
2025-10-31 02:00:00,uptc_chi,Chiquinquirá,168,1.3956325
2025-10-31 02:00:00,uptc_dui,Duitama,168,3.986069
2025-10-31 02:00:00,uptc_sog,Sogamoso,168,3.9163964
2025-10-31 02:00:00,uptc_tun,Tunja,168,0.6171381
2025-10-31 03:00:00,UPTC-CHI,Chiquinquirá,168,0.8923217
2025-10-31 03:00:00,UPTC-DUI,Duitama,168,3.791869
2025-10-31 03:00:00,UPTC-SOG,Sogamoso,168,2.447858
2025-10-31 03:00:00,UPTC-TUN,Tunja,168,-0.0675098
2025-10-31 03:00:00,UPTC_CHI,Chiquinquirá,168,0.668691
2025-10-31 03:00:00,UPTC_DUI,Duitama,168,2.030504
2025-10-31 03:00:00,UPTC_SOG,Sogamoso,168,2.2195795
2025-10-31 03:00:00,UPTC_TUN,Tunja,168,1.0373987
2025-10-31 03:00:00,uptc_chi,Chiquinquirá,168,1.7331798
2025-10-31 03:00:00,uptc_dui,Duitama,168,3.1171787
2025-10-31 03:00:00,uptc_sog,Sogamoso,168,3.1748133
2025-10-31 03:00:00,uptc_tun,Tunja,168,0.8206473
2025-10-31 04:00:00,UPTC-CHI,Chiquinquirá,168,0.61362666
2025-10-31 04:00:00,UPTC-DUI,Duitama,168,3.3164408
2025-10-31 04:00:00,UPTC-SOG,Sogamoso,168,2.979208
2025-10-31 04:00:00,UPTC-TUN,Tunja,168,0.62154746
2025-10-31 04:00:00,UPTC_CHI,Chiquinquirá,168,0.6473554
2025-10-31 04:00:00,UPTC_DUI,Duitama,168,2.1868248
2025-10-31 04:00:00,UPTC_SOG,Sogamoso,168,2.4244924
2025-10-31 04:00:00,UPTC_TUN,Tunja,168,0.8709574
2025-10-31 04:00:00,uptc_chi,Chiquinquirá,168,1.5812653
2025-10-31 04:00:00,uptc_dui,Duitama,168,3.9291673
2025-10-31 04:00:00,uptc_sog,Sogamoso,168,1.7068803
2025-10-31 04:00:00,uptc_tun,Tunja,168,2.3205905
